x,y
-0.09999984204769063,-0.02999988675117482
-0.1499998427927487,-0.02999988675117482
-0.19999984353780675,-0.02999988675117482
-0.2499998442828648,-0.02999988675117482
-0.2999998450279229,-0.07999988749623288
-0.34999984577298093,-0.12999988824129094
-0.399999846518039,-0.179999888986349
-0.44999984726309705,-0.179999888986349
-0.4999998480081551,-0.179999888986349
-0.5499998487532132,-0.179999888986349
-0.5999998494982712,-0.179999888986349
-0.6499998502433293,-0.179999888986349
-0.6999998509883874,-0.179999888986349
-0.7499998517334454,-0.22999988973140706
-0.7999998524785035,-0.2799998904764651
-0.8499998532235615,-0.3299998912215232
-0.8999998539686196,-0.37999989196658124
-0.9499998547136776,-0.4299998927116393
-0.9999998554587357,-0.47999989345669736
-1.0499998562037938,-0.5299998942017554
-1.0999998569488518,-0.5799998949468135
-1.1499998576939099,-0.6299998956918715
-1.199999858438968,-0.6799998964369296
-1.249999859184026,-0.7299998971819877
-1.299999859929084,-0.7799998979270457
-1.3499998606741421,-0.8299998986721038
-1.3999998614192002,-0.8799998994171618
-1.4499998621642582,-0.9299999001622199
-1.4999998629093163,-0.979999900907278
-1.5499998636543744,-1.029999901652336
-1.5999998643994324,-1.079999902397394
-1.6499998651444905,-1.1299999031424521
-1.6999998658895485,-1.1799999038875102
-1.7499998666346066,-1.2299999046325683
-1.7999998673796647,-1.2799999053776263
-1.8499998681247227,-1.3299999061226844
-1.8499998681247227,-1.3799999068677424
-1.8999998688697808,-1.4299999076128005
-1.9499998696148388,-1.4799999083578586
-1.999999870359897,-1.5299999091029166
-2.049999871104955,-1.5799999098479747
-2.099999871850013,-1.6299999105930327
-2.149999872595071,-1.6799999113380908
-2.199999873340129,-1.7299999120831488
-2.249999874085187,-1.779999912828207
-2.2999998748302453,-1.829999913573265
-2.3499998755753033,-1.879999914318323
-2.3999998763203614,-1.929999915063381
-2.4499998770654194,-1.9799999158084391
-2.4999998778104775,-2.029999916553497
-2.5499998785555356,-2.0799999172985553
-2.5999998793005936,-2.1299999180436133
-2.6499998800456517,-2.1799999187886714
-2.6999998807907097,-2.2299999195337294
-2.749999881535768,-2.2799999202787875
-2.799999882280826,-2.3299999210238456
-2.849999883025884,-2.3799999217689036
-2.899999883770942,-2.4299999225139617
-2.949999884516,-2.4799999232590197
-2.999999885261058,-2.529999924004078
-3.049999886006116,-2.579999924749136
-3.099999886751174,-2.629999925494194
-3.1499998874962323,-2.679999926239252
-3.1999998882412903,-2.72999992698431
-3.2499998889863484,-2.779999927729368
-3.2999998897314065,-2.829999928474426
-3.3499998904764645,-2.8799999292194842
-3.3999998912215226,-2.9299999299645423
-3.4499998919665806,-2.9799999307096003
-3.4999998927116387,-3.0299999314546584
-3.5499998934566968,-3.0799999321997165
-3.599999894201755,-3.1299999329447745
-3.649999894946813,-3.1799999336898326
-3.699999895691871,-3.2299999344348906
-3.749999896436929,-3.2799999351799487
-3.799999897181987,-3.3299999359250068
-3.849999897927045,-3.379999936670065
-3.899999898672103,-3.429999937415123
-3.9499998994171612,-3.479999938160181
-3.9999999001622193,-3.529999938905239
-4.049999900907277,-3.579999939650297
-4.099999901652335,-3.629999940395355
-4.1499999023973935,-3.679999941140413
-4.1999999031424515,-3.7299999418854712
-4.24999990388751,-3.7799999426305293
-4.299999904632568,-3.8299999433755874
-4.349999905377626,-3.8799999441206454
-4.399999906122684,-3.9299999448657035
-4.449999906867742,-3.9799999456107615
-4.4999999076128,-4.02999994635582
-4.549999908357858,-4.079999947100878
-4.599999909102916,-4.129999947845936
-4.649999909847974,-4.179999948590994
-4.699999910593032,-4.229999949336052
-4.699999910593032,-4.27999995008111
-4.699999910593032,-4.329999950826168
-4.699999910593032,-4.379999951571226
-4.74999991133809,-4.429999952316284
-4.799999912083148,-4.479999953061342
-4.849999912828206,-4.5299999538064
